,states,x_cor,y_cor
0,Himachal Pradesh,-107,215
1,Punjab,-113,162
2,Rajasthan,-154,89
3,Haryana,-101,128
4,Uttarakhand,-75,157
5,Uttar Pradesh,-55,75
6,Madhya Pradesh,-99,27
7,Gujarat,-179,25
8,Maharashtra,-133,-42
9,Andhra Pradesh,-76,-86
10,Tamil Nadu,-82,-178
11,Karnataka,-132,-115
12,Goa,-157,-104
13,Chhattisgarh,-35,-2
14,Odisha,9,-19
15,Bihar,30,60
16,Jharkhand,26,39
17,West Bengal,55,17
18,Kerala,-125,-189
19,Sikkim,74,109
20,Arunachal Pradesh,160,122
21,Mizoram,144,24
22,Tripura,121,42
23,Meghalaya,108,65
24,Assam,133,89
25,Nagaland,169,84
26,Manipur,161,62
